"type","character","left_categ","centleft_categ","centright_categ","right_categ","corr_ans","img","corr_ans_num","task_response.keys","task_response.corr","resp_cat","cumAcc","condition"
1,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","Outdoor activity & sport item","stimuli/objects/volleyball.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.342857142857143,1
0,"stimuli/m_black.jpg","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","Kitchen & utensil","stimuli/objects/oven.jpg",4,3,0,"stimuli/Outdoor activity & sport item.png",0.338028169014085,1
0,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/snowshoe.jpg",1,2,0,"stimuli/Hand labour tool & accessory.png",0.333333333333333,0
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/skipole.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.342465753424658,1
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/puttyknife.jpg",3,3,1,"stimuli/Hand labour tool & accessory.png",0.351351351351351,0
1,"stimuli/m_orange.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Hand labour tool & accessory","stimuli/objects/bungeecord02.jpg",3,3,1,"stimuli/Hand labour tool & accessory.png",0.36,0
1,"stimuli/m_orange.jpg","stimuli/Electronic device & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Hand labour tool & accessory.png","stimuli/Outdoor activity & sport item.png","Hand labour tool & accessory","stimuli/objects/jackhammer.jpg",3,4,0,"stimuli/Outdoor activity & sport item.png",0.355263157894737,0
1,"stimuli/m_black.jpg","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Hand labour tool & accessory.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/kneepad01c.jpg",2,2,1,"stimuli/Outdoor activity & sport item.png",0.363636363636364,1
1,"stimuli/m_black.jpg","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","Outdoor activity & sport item","stimuli/objects/golfbag.jpg",3,3,1,"stimuli/Outdoor activity & sport item.png",0.371794871794872,1
1,"stimuli/m_black.jpg","stimuli/Outdoor activity & sport item.png","stimuli/Electronic device & accessory.png","stimuli/Hand labour tool & accessory.png","stimuli/Kitchen & utensil.png","Outdoor activity & sport item","stimuli/objects/birdie.jpg",1,1,1,"stimuli/Outdoor activity & sport item.png",0.379746835443038,1
